Name,Surname,CNP,ClientID,Password
Ion,Ionita,1840916259651,169,218194
Ioana,Dinu,2930904323345,170,429623
Simona,Barbu,2740218345892,171,772951
Ion,Oprea,1640730235541,172,835453
Catalin,Gheorghe,1681204082437,173,834843
Ion,Stoica,1670509203849,174,755766
Octavian,Dobre,1581217124172,175,277546
Valentin,Popescu,1810518127922,176,701852
Gabriel,Radu,1891130346511,177,378449
Mihaela,Vasile,2690217393715,178,943272
Maria,Dobre,2660128097145,179,076941
Daniel,Popescu,1660923152460,180,620383
Ana,Popescu,2670925331637,181,398574
Simona,Dragomir,2560115028760,182,863756
Elena,Dobre,2950315192292,183,522794
Valentin,Ionescu,1840724335286,184,571291
Alina,Mihai,2711121148599,185,140213
Andreea,Gheorghe,6000810228629,186,324719
Daniel,Radu,1841105152084,187,617547
Adrian,Gheorghe,1950130155879,188,934799
Gabriel,Dragomir,1610106121245,189,050784
Doru,Ionita,1950728040948,190,132260
Alina,Vasile,2931125136854,191,788821
Viorica,Popa,2870429185831,192,740040
Adrian,Dragomir,1690225138402,193,843103
Mihaela,Stoica,2620503066253,194,683403
Gabriela,Barbu,2600318244145,195,771872
Andreea,Gheorghe,2701226331749,196,580785
Iulia,Ionescu,2630604347259,197,711572
Iulian,Dragomir,1580115067500,198,071440
Adrian,Georgescu,1950630174992,199,481108
Catalin,Stoica,1670425144921,200,692027
Alexandru,Dragomir,1550428195298,201,737661
Cristian,Tudor,1810620285705,202,697493
Cristina,Oprea,2630131377496,203,510703
Ion,Radu,1971121179605,204,248664
Elena,Vasile,2891214214525,205,318786
Maria,Popescu,6021030228564,206,902929
Alexandru,Popa,1620730424092,207,716069
Ana,Barbu,2840531192877,208,625227
Ioana,Radu,6040212317196,209,624140
Daniel,Stancu,1800118167881,210,419411
Elena,Tudor,2570711181925,211,529421
Maria,Dobre,2790306406818,212,254328
Marius,Mihai,1781221211782,213,991796
Ion,Constantin,1750220248965,214,364769
Viorica,Dobre,2840703290081,215,684246
Gabriel,Dinu,1930526341055,216,595658
Elena,Dobre,2650415339893,217,385368
Diana,Dumitru,2741215211648,218,093773
Mihai,Vasile,1790223111860,219,066563
Daniela,Dragomir,2980218070889,220,605034
Gabriel,Vasile,1810904165862,221,269830
Catalin,Dumitru,1681031158714,222,363502
Cristian,Mihai,1981013266759,223,395851
Victor,Gheorghe,1921115044251,224,143897
Elena,Dumitru,2851122287859,225,338671
Daniel,Dumitru,1601011306493,226,140977
Catalin,Dinu,1680326223775,227,509220
Ioana,Dinu,2630718192679,228,720408
Iulian,Barbu,5031121254208,229,057448
Marius,Popa,1730228325623,230,835591
Ion,Gheorghe,1620515128737,231,348165
Elena,Tudor,2921108349611,232,080910
Octavian,Barbu,1870807426918,233,696791
Adrian,Vasile,1761129414930,234,142429
Adrian,Popescu,1721120257330,235,815340
Simona,Barbu,2970105170685,236,201523
Daniela,Constantin,2750613291503,237,745395
Victor,Constantin,1871203400494,238,780353
Dragos,Dumitrache,1810208387208,239,669455
Doru,Mihai,1571222198123,240,594180
Ion,Mihai,1650830123554,241,154185
Mihaela,Stoica,2820826383996,242,240679
Victor,Popa,1780527154455,243,157305
Florin,Vasile,1721222082464,244,524028
Elena,Popescu,2871221235928,245,215170
Dragos,Stancu,1600219381378,246,547892
Raluca,Ionescu,2950713126749,247,041942
Simona,Mihai,2860202064016,248,253024
Andreea,Radu,2640623188345,249,041191
Adrian,Dragomir,5000227273280,250,075062
Cristina,Constantin,2790226174448,251,261210
Ion,Popescu,1810709390131,252,023472
Ioana,Popescu,2970719210617,253,145409
Viorica,Georgescu,2711208281831,254,241751
Simona,Constantin,2820404328587,255,701153
George,Stancu,1900616143977,256,149967
Marius,Dobre,1811231342355,257,114886
Daniela,Dragomir,2560612259413,258,361799
Iulia,Dragomir,2680817326811,259,123617
Diana,Popescu,2761123231274,260,619214
Iulian,Vasile,1760626386403,261,711800
Florin,Constantin,1640922327935,262,127967
Maria,Ionescu,2600912107759,263,536790
George,Constantin,1901227139430,264,551402
Simona,Mihai,2771014236590,265,363477
Ana,Ionita,2560320088552,266,850226
Costel,Stoica,5020820379170,267,615120
Ioana,Oprea,2950630010948,268,996506
Maria,Ionita,2980511102394,269,040359
Daniela,Ionita,2850122121373,270,892170
Gabriel,Stoica,1780330204508,271,685150
Simona,Radu,2790223084401,272,839459
Ioana,Popescu,2800829019839,273,013466
Ioana,Georgescu,2721215089584,274,948047
Andreea,Dinu,2700805195457,275,792370
Ana,Dinu,6020615042896,276,166678
Diana,Ionescu,2850405163817,277,833345
Catalin,Stancu,1990303201230,278,269311
Alexandru,Dumitru,1620322336887,279,304022
Elena,Oprea,2880702398910,280,963938
Catalin,Dumitrache,1760812117748,281,322393
Daniel,Vasile,1811005142126,282,312699
Simona,Oprea,2970621192261,283,148612
Alexandru,Stancu,5041010407026,284,002922
Mihaela,Gheorghe,2600315396010,285,673577
Daniela,Radu,2770217237466,286,016927
Corina,Barbu,2940207017553,287,060782
Simona,Mihai,2751002292549,288,376376
Mihaela,Popa,2791014147057,289,903313
Viorica,Mihai,2611013321611,290,003075
Florin,Georgescu,1591001137061,291,651956
Cristian,Vasile,1911028154739,292,223436
Eugen,Barbu,1600225178301,293,939970
Daniel,Popa,5030221418363,294,640297
Laura,Barbu,2940610111697,295,038614
Mihaela,Ionescu,2810103366038,296,891061
Catalin,Stoica,1910117230752,297,659201
Alina,Popescu,2560913152575,298,323048
Maria,Mihai,2680310322241,299,521290
Ana,Dragomir,2850428044958,300,207552
Doru,Oprea,1810506115699,301,637004
Iulian,Dumitrache,1651122333230,302,348355
Viorica,Tudor,2650410092707,303,991147
Catalin,Constantin,1761111396682,304,754693
Adrian,Ionita,1630629298685,305,476370
Iulian,Barbu,1761019280629,306,329799
Elena,Tudor,2780502178446,307,171493
Alexandru,Dumitrache,1950518177418,308,724922
Daniela,Mihai,2871231199807,309,126281
Gabriel,Dumitru,1560629343009,310,723114
Alexandru,Gheorghe,1630508214076,311,766962
Gabriel,Dumitru,1830805184123,312,530616
Mihai,Popa,1710816352384,313,845524
Catalin,Popa,1780920051004,314,352032
Gabriela,Dinu,2890914406285,315,670847
Gabriela,Popa,2550124254160,316,280670
Alina,Mihai,2950630249381,317,511845
Diana,Oprea,2970731144186,318,313784
Iulia,Barbu,2791219147154,319,884318
Octavian,Ionescu,1650209270636,320,768886
Iulia,Tudor,2870306112638,321,315118
Victor,Radu,1610618368667,322,703986
Diana,Dumitru,2970204122579,323,404778
Dragos,Dinu,1980730217137,324,682677
Viorica,Tudor,2571201174680,325,526782
Catalin,Dinu,1970607360031,326,841494
George,Radu,1780917028721,327,250782
Elena,Ionita,2900130339505,328,874317
Elena,Popa,2830116093655,329,000452
Valentin,Tudor,1811028015871,330,983926
Stefan,Gheorghe,1570522229348,331,923091
George,Ionescu,1950503015425,332,686910
Roxana,Dinu,2980527197569,333,516065
Florin,Stancu,1790708394671,334,659771
Dragos,Oprea,5010512321330,335,984475
Stefan,Constantin,1730614083531,336,978520
Ioana,Tudor,2550831126697,337,120505
Alina,Mihai,2930119124081,338,102778
Liliana,Popa,2981210175621,339,722801
Elena,Dobre,2671106408791,340,071080
Victor,Gheorghe,1760830199913,341,414626
Corina,Georgescu,2791106216019,342,735326
Iulia,Barbu,2980910023558,343,209988
Mihaela,Dragomir,6031009167352,344,415519
Simona,Gheorghe,6000125274760,345,153642
Maria,Mihai,2580618187022,346,807934
Daniel,Constantin,1850512019656,347,721377
Florin,Dobre,1650427051602,348,714107
Mihai,Stancu,1951011422786,349,537236
Eugen,Ionescu,1940225334947,350,811348
Eugen,Georgescu,1580306035411,351,386221
Simona,Ionescu,2690608146135,352,980318
Gabriel,Barbu,5040129311696,353,839743
Cristina,Barbu,2661211116182,354,750075
Cristina,Stoica,2861225215870,355,311532
Doru,Constantin,1740819232038,356,935544
Gabriela,Gheorghe,2830331142031,357,588685
Elena,Georgescu,2951120395655,358,439046
Ion,Ionescu,1910210211148,359,085091
Mihai,Vasile,1820202050690,360,856126
Marius,Oprea,1770405375743,361,088504
Valentin,Dragomir,1680316195851,362,088034
Stefan,Dragomir,1741009067361,363,638078
Cristina,Radu,2890802409745,364,103970
Maria,Dragomir,2620204205355,365,727613
Simona,Dinu,2970427225735,366,652813
Florin,Barbu,5010107089734,367,193186
Corina,Oprea,2790722063599,368,319466
Costel,Constantin,1990212303916,369,116627
Marius,Oprea,1970910368728,370,988078
Daniela,Dobre,6010105070032,371,226377
Diana,Ionescu,2980409210985,372,954227
Gabriel,Stancu,1991230378971,373,427790
Simona,Constantin,2660506155233,374,545245
Victor,Popa,1850122032579,375,912325
Victor,Mihai,1950313087091,376,902776
Ion,Georgescu,1720407393597,377,139803
Doru,Tudor,1660925242594,378,492081
Corina,Oprea,2680803142766,379,825369
Roxana,Dobre,2581009409159,380,974408
Alina,Mihai,6040412339730,381,245292
Ioana,Popa,2591017329878,382,263761
Liliana,Dumitrache,2600707258711,383,337049
Costel,Oprea,1810310168289,384,166279
Elena,Ionita,2830114280533,385,248364
Marius,Popa,1830216074558,386,954510
Mihaela,Stoica,2720402232191,387,350086
Catalin,Radu,1570701331568,388,470332
Diana,Dumitrache,2730627115946,389,500090
Iulian,Stoica,1600726275774,390,264642
Dragos,Mihai,5030129135893,391,148960
Elena,Mihai,2850809207677,392,749692
Octavian,Vasile,1610629200857,393,876876
Andreea,Dinu,2960805154781,394,553048
Laura,Oprea,2641018429918,395,101615
Roxana,Stoica,2600607385370,396,321788
Maria,Ionescu,2671108362322,397,663240
Marius,Stancu,1620118159355,398,421044
Andreea,Popescu,2990430110366,399,451106
Cristina,Dumitrache,2850612410338,400,436643
Octavian,Popa,1900317167137,401,803713
Adrian,Dumitrache,1860222235938,402,036799
Elena,Barbu,2850612018596,403,294014
George,Constantin,1921005129372,404,395793
Eugen,Dumitru,5020619013721,405,453103
Roxana,Mihai,2820624331491,406,731207
Mihaela,Dobre,2810710096190,407,075873
Octavian,Stancu,1850116151231,408,906681
Stefan,Barbu,1760920062269,409,115841
Iulia,Gheorghe,2810108192029,410,374458
Liliana,Radu,2830817282911,411,974993
Eugen,Tudor,1941020190127,412,960569
Liliana,Oprea,2920622412566,413,365831
Daniel,Ionescu,1740308223810,414,853484
Doru,Vasile,1810807201061,415,339594
Daniel,Constantin,1880606025246,416,120380
Florin,Popa,1821218052240,417,818167
George,Ionescu,1570806222821,418,624825
Daniela,Barbu,2740503165283,419,107592
Daniel,Constantin,1841203038674,420,689407
Catalin,Barbu,1970825168978,421,507338
Mihai,Georgescu,1830922307898,422,331672
Daniela,Tudor,2731003189992,423,383724
Cristina,Ionescu,2930518399082,424,367215
Stefan,Oprea,1570916107994,425,598116
Costel,Popa,1951228146532,426,187196
Ana,Popa,6010616057002,427,861203
Cristina,Tudor,2810831346443,428,347070
Valentin,Stancu,1650630285989,429,682701
Liliana,Georgescu,2551207318018,430,612610
Elena,Constantin,2620210300048,431,668127
Raluca,Oprea,6021212146183,432,790977
Elena,Tudor,2831120342714,433,286782
Iulian,Constantin,1960105135669,434,997438
Florin,Constantin,5011219358158,435,211261
Corina,Radu,2650507093298,436,888328
Corina,Gheorghe,2910909013085,437,151767
Daniela,Popa,2770312323191,438,200952
Costel,Tudor,5021118051946,439,560204
Simona,Ionita,2591227293200,440,519635
Mihai,Radu,1850410138988,441,793630
Corina,Radu,2800627261458,442,341644
Dragos,Tudor,1621216273950,443,108963
Ioana,Dragomir,2890904403233,444,220043
Diana,Gheorghe,2800704273330,445,870629
Andreea,Ionita,6031201160638,446,597042
Ioana,Radu,6010511216978,447,804697
Ion,Georgescu,1671127371754,448,085624
Florin,Radu,1760120045762,449,503948
Ana,Stoica,2800128149521,450,779926
Marius,Georgescu,5020307225340,451,599376
Costel,Stancu,1571015295961,452,393571
Ion,Dumitru,5020526426267,453,159124
Maria,Gheorghe,2980107394524,454,170523
Liliana,Dumitru,2681219189355,455,271487
Valentin,Dobre,1840319245821,456,351782
Ion,Oprea,1640725164797,457,401007
Eugen,Stoica,1961129120497,458,011112
Gabriela,Mihai,2610901342491,459,342198
Catalin,Radu,1681211340953,460,916135
George,Barbu,1681028016673,461,865907
Raluca,Popescu,2760324073963,462,005619
Liliana,Gheorghe,2990611157801,463,516807
Stefan,Stoica,5000524196940,464,145910
Ioana,Vasile,2620905296651,465,787981
Mihaela,Ionescu,2700217267911,466,783105
Marius,Stancu,5020617206870,467,792074
Adrian,Georgescu,1690713058493,468,296703
Raluca,Dinu,2740318205067,469,513872
Iulia,Dobre,2710209031395,470,801144
Cristian,Popescu,1621104408400,471,233156
Valentin,Tudor,1640425182949,472,263663
Valentin,Ionescu,1981002298350,473,100159
Gabriel,Gheorghe,1580802232236,474,093910
Victor,Gheorghe,1551107332374,475,555642
Alina,Oprea,2760831294008,476,430037
Gabriel,Dumitrache,1860209264012,477,836909
Iulia,Constantin,6030629041944,478,227900
Eugen,Radu,1981101013267,479,606733
Raluca,Dobre,2811204356881,480,068608
Octavian,Barbu,1940623391401,481,598656
Dragos,Stoica,1700425102119,482,877953
Ion,Popa,1700501255256,483,149998
Daniela,Tudor,2740504228850,484,217744
Eugen,Dragomir,1910731153658,485,454084
Viorica,Mihai,2550324343421,486,631903
Corina,Dragomir,2640829162482,487,194540
Valentin,Radu,1990611147130,488,698390
Laura,Dinu,2710702337081,489,322491
Viorica,Dragomir,2670425066978,490,847927
Octavian,Mihai,1740502061025,491,557753
Victor,Ionescu,1981204084851,492,554962
Roxana,Gheorghe,2800302284030,493,125918
Cristina,Barbu,2570618319704,494,156310
Marius,Stancu,1731014268348,495,127645
Cristian,Georgescu,1801012067271,496,038266
Costel,Ionita,1930927363288,497,208610
Alina,Tudor,2890215192834,498,148597
Liliana,Ionita,2830702392783,499,737829
Roxana,Popescu,2570401052158,500,265379
Florin,Georgescu,1890531035136,501,995394
Daniela,Gheorghe,2910804238881,502,074169
Stefan,Oprea,1740413299236,503,210773
Daniel,Stancu,1990922178248,504,586712
Liliana,Dinu,2960201018061,505,751346
Catalin,Stancu,1710531422199,506,527187
Daniela,Gheorghe,2640320401605,507,400089
Alina,Dumitru,2920509333247,508,445001
Elena,Popescu,6020615033091,509,215757
Cristina,Ionita,2550209106469,510,861841
Mihaela,Popa,2920326015950,511,459901
Victor,Tudor,1630126317704,512,446980
Mihaela,Oprea,2700427184783,513,004784
Costel,Dumitrache,1620608089339,514,369152
Catalin,Constantin,1700220410529,515,215660
Elena,Vasile,2980930401735,516,042389
Elena,Dobre,2840516352212,517,670028
Andreea,Constantin,2870714263088,518,723365
Ana,Barbu,2710423111311,519,263203
Gabriela,Tudor,2610717125869,520,887045
Ioana,Stancu,2690714360371,521,022444
Valentin,Ionita,1560702154598,522,562695
Victor,Ionita,1890316282078,523,335499
Victor,Tudor,5010227182378,524,162334
Daniel,Popescu,1851221272210,525,607930
Laura,Radu,2780817326189,526,958883
Roxana,Barbu,2710702075470,527,237467
Alina,Dumitru,2630607302531,528,147887
Florin,Barbu,1591231387616,529,727614
Eugen,Dragomir,5000625042965,530,775190
Octavian,Popa,1671016124699,531,467362
Diana,Stancu,2730913019451,532,922017
Victor,Stoica,1981116281221,533,072090
Stefan,Dumitrache,1940627077593,534,377270
Gabriel,Popescu,1891203390889,535,085072
Laura,Tudor,2720324242915,536,432699
Corina,Georgescu,2810524045386,537,709835
Costel,Dumitru,1930608093199,538,873225
Daniel,Ionita,1710418284749,539,017362
Victor,Dinu,1861127357861,540,822931
Raluca,Dragomir,2550528011121,541,008821
George,Radu,1870607236812,542,202966
Catalin,Ionescu,1951227231765,543,731901
Laura,Ionescu,2990710244933,544,749736
Viorica,Dragomir,6041226338077,545,961043
George,Dumitrache,1621109424591,546,017973
Octavian,Constantin,1880102120752,547,317503
Catalin,Tudor,1720701047513,548,445547
Mihaela,Dinu,2800324268953,549,438144
Iulian,Oprea,1880831254907,550,998742
Cristina,Popa,2950203428267,551,634498
Mihai,Dumitrache,1640103343097,552,705719
Ion,Ionescu,1940818364556,553,076492
Gabriel,Barbu,1551120166191,554,348114
Raluca,Barbu,2620227263207,555,574595
Daniela,Barbu,2600926016764,556,427704
Ion,Gheorghe,1831005210703,557,117865
Andreea,Vasile,2870615161492,558,691638
Alina,Mihai,2550306397081,559,368358
Stefan,Oprea,1710914023401,560,142070
Valentin,Dobre,1750913299056,561,811019
Iulia,Popa,2780601374318,562,596130
Gabriela,Barbu,2731019236171,563,202922
Raluca,Stancu,2890623164961,564,029855
Viorica,Dragomir,6041031416094,565,722904
Octavian,Ionescu,5021221180940,566,859424
Gabriel,Dinu,5031227014859,567,008015
Ioana,Ionita,2900420186326,568,857802
Victor,Ionescu,1930611066324,569,166844
Ion,Ionita,1560701015931,570,592689
Gabriel,Barbu,1661008291455,571,106914
Iulia,Stoica,2650716238145,572,649967
George,Mihai,1851221040742,573,016980
Costel,Popa,1760324246614,574,942640
Elena,Stancu,2860729010846,575,779729
Victor,Dumitru,1770516113052,576,665916
Florin,Dumitrache,5000705214862,577,622925
Raluca,Georgescu,2740623190029,578,206153
George,Gheorghe,1790809141130,579,596719
Alina,Dumitrache,2780818295194,580,253827
Alina,Popa,2730301102461,581,248349
George,Constantin,1960822233780,582,440825
Mihaela,Dumitrache,2710829276231,583,390046
Diana,Georgescu,2841120121151,584,388221
Alina,Gheorghe,2560518205236,585,161209
Diana,Ionescu,2910930414570,586,343908
Ioana,Stoica,2990330393912,587,623397
Liliana,Mihai,2871030246543,588,663996
Viorica,Stoica,2800811251552,589,914331
Mihaela,Popa,2840507034776,590,203209
Cristina,Vasile,2670302192309,591,852949
Andreea,Dobre,2920319141100,592,632918
Diana,Tudor,2580825012516,593,601298
Ioana,Popa,2880418110573,594,312351
Octavian,Ionita,1741207033671,595,149924
Dragos,Mihai,5040323429722,596,125553
Mihaela,Gheorghe,2580621050281,597,646560
Cristian,Stancu,1960311176671,598,585248
Alina,Dumitrache,2840312175100,599,690674
Maria,Popescu,2590324378871,600,774900
George,Radu,1951105414247,601,985839
Marius,Ionescu,1620706137307,602,495045
Daniela,Oprea,2860305023519,603,593764
Stefan,Georgescu,1560816360618,604,670354
Dragos,Popa,1750417207535,605,528362
Dragos,Vasile,1900615223819,606,770657
Roxana,Dragomir,2871120071166,607,565630
George,Dobre,1710923197405,608,890441
Simona,Constantin,6030802057667,609,753173
Octavian,Vasile,1991007372474,610,573335
Daniel,Constantin,5010312284751,611,856274
George,Barbu,1890420356118,612,000509
Mihai,Mihai,1831211350776,613,945036
Catalin,Oprea,5020711225311,614,451571
Ana,Ionescu,2670819111846,615,056491
Ana,Popescu,2810811081668,616,509488
Gabriela,Tudor,2660713073699,617,440507
Raluca,Barbu,6031203102764,618,119621
Cristina,Tudor,6030115201309,619,522039
Andreea,Stancu,2791022011340,620,382072
Octavian,Radu,1750127158656,621,618188
Catalin,Radu,1890818395896,622,415316
Mihaela,Vasile,2811114195943,623,681759
Maria,Popa,2560423330901,624,089276
Daniela,Stancu,2650121307808,625,285128
Gabriel,Dobre,1880925018809,626,473640
Diana,Dumitru,2961028120900,627,423766
Marius,Vasile,5010925067011,628,079167
Victor,Dumitru,1730712276957,629,209671
Stefan,Oprea,1730524056674,630,244114
Gabriela,Oprea,2940318265418,631,934411
Elena,Ionescu,2620421233169,632,478467
Andreea,Stancu,2740303062737,633,138887
George,Dragomir,1881230195151,634,052294
Cristian,Dobre,1980415265967,635,263357
Gabriela,Dobre,2901031215330,636,329845
Iulia,Dumitrache,2590212148583,637,004790
Florin,Tudor,1850324116886,638,068279
Daniela,Dumitru,2810928387011,639,296166
Doru,Tudor,1910811224364,640,374228
Laura,Georgescu,2920105358421,641,649131
Costel,Popa,1610206140268,642,220618
Costel,Dumitru,1680409244852,643,203849
Florin,Stoica,5020223029804,644,868557
Adrian,Dobre,1630109037921,645,503992
Corina,Oprea,2750223159070,646,463022
Raluca,Radu,2820206289615,647,891948
Alexandru,Tudor,5040819343781,648,087196
Ana,Gheorghe,2690729271131,649,946561
Florin,Radu,1631009048346,650,383423
Andreea,Stancu,2960816051050,651,420278
Mihaela,Vasile,2980220067052,652,887586
Alina,Gheorghe,2801102363851,653,875167
Simona,Mihai,2880413188057,654,538447
Raluca,Dumitru,2611017323501,655,876611
Dragos,Stoica,1811001117149,656,777957
Raluca,Ionescu,2790308039206,657,621756
Laura,Oprea,6041120265749,658,102432
Dragos,Dumitru,1700615238767,659,465458
Doru,Stoica,1871203185797,660,469483
Gabriel,Ionescu,1700406061767,661,118780
Liliana,Oprea,2670917344357,662,392290
Corina,Stoica,2651102141471,663,785118
Stefan,Stoica,5010531189565,664,642577
Elena,Vasile,2580906315991,665,439290
Roxana,Vasile,2590913113961,666,983868
Costel,Stoica,1710708420611,667,462866
Dragos,Mihai,1690611355021,668,325819
